stage,block_size,block_row,block_col,channel,before_sum,after_sum,abs_difference
substitution,8,40,56,0,5760,5760,0
substitution,8,40,56,1,7680,7680,0
substitution,8,40,56,2,9600,9600,0
substitution,8,48,0,0,6240,6240,0
substitution,8,48,0,1,7400,7400,0
substitution,8,48,0,2,9640,9640,0
substitution,8,48,8,0,7680,7680,0
substitution,8,48,8,1,6560,6560,0
substitution,8,48,8,2,9760,9760,0
substitution,8,48,16,0,7680,7680,0
substitution,8,48,16,1,6560,6560,0
substitution,8,48,16,2,9760,9760,0
substitution,8,48,24,0,5760,5760,0
substitution,8,48,24,1,7680,7680,0
substitution,8,48,24,2,9600,9600,0
substitution,8,48,32,0,5760,5760,0
substitution,8,48,32,1,7680,7680,0
substitution,8,48,32,2,9600,9600,0
substitution,8,48,40,0,5760,5760,0
substitution,8,48,40,1,7680,7680,0
substitution,8,48,40,2,9600,9600,0
substitution,8,48,48,0,5760,5760,0
substitution,8,48,48,1,7680,7680,0
substitution,8,48,48,2,9600,9600,0
substitution,8,48,56,0,5760,5760,0
substitution,8,48,56,1,7680,7680,0
substitution,8,48,56,2,9600,9600,0
substitution,8,56,0,0,5760,5760,0
substitution,8,56,0,1,7680,7680,0
substitution,8,56,0,2,9600,9600,0
substitution,8,56,8,0,5760,5760,0
substitution,8,56,8,1,7680,7680,0
substitution,8,56,8,2,9600,9600,0
substitution,8,56,16,0,5760,5760,0
substitution,8,56,16,1,7680,7680,0
substitution,8,56,16,2,9600,9600,0
substitution,8,56,24,0,5760,5760,0
substitution,8,56,24,1,7680,7680,0
substitution,8,56,24,2,9600,9600,0
substitution,8,56,32,0,5760,5760,0
substitution,8,56,32,1,7680,7680,0
substitution,8,56,32,2,9600,9600,0
substitution,8,56,40,0,5760,5760,0
substitution,8,56,40,1,7680,7680,0
substitution,8,56,40,2,9600,9600,0
substitution,8,56,48,0,5760,5760,0
substitution,8,56,48,1,7680,7680,0
substitution,8,56,48,2,9600,9600,0
substitution,8,56,56,0,5760,5760,0
substitution,8,56,56,1,7680,7680,0
substitution,8,56,56,2,9600,9600,0
rdh,16,0,0,0,18595,18599,4
rdh,16,0,0,1,32791,32795,4
rdh,16,0,0,2,32267,32272,5
rdh,16,0,16,0,19840,19840,0
rdh,16,0,16,1,34560,34560,0
rdh,16,0,16,2,34560,34560,0
rdh,16,0,32,0,23040,23039,1
rdh,16,0,32,1,30720,30717,3
rdh,16,0,32,2,38400,38399,1
rdh,16,0,48,0,23040,23031,9
rdh,16,0,48,1,30720,30710,10
rdh,16,0,48,2,38400,38391,9
rdh,16,16,0,0,19840,19840,0
rdh,16,16,0,1,34560,34560,0
rdh,16,16,0,2,34560,34560,0
rdh,16,16,16,0,19840,19840,0
rdh,16,16,16,1,34560,34560,0
rdh,16,16,16,2,34560,34560,0
rdh,16,16,32,0,20640,20640,0
rdh,16,16,32,1,40320,40320,0
rdh,16,16,32,2,48000,48000,0
rdh,16,16,48,0,21120,21120,0
